Vr [V]	I [pA]
0.00	96.1
0.00	96.3
-0.01	92.5
-0.03	90.7
-0.03	87.3
-0.05	85.5
-0.05	80.9
-0.06	80.0
-0.06	77.5
-0.07	76.3
-0.08	74.4
-0.09	71.6
-0.09	69.6
-0.10	70.0
-0.11	68.5
-0.11	66.1
-0.12	64.2
-0.12	62.8
-0.13	61.0
-0.14	57.5
-0.15	57.0
-0.15	54.9
-0.16	52.3
-0.17	51.4
-0.18	49.5
-0.19	47.6
-0.19	45.8
-0.20	44.2
-0.21	42.4
-0.22	41.1
-0.23	38.3
-0.24	36.5
-0.25	34.7
-0.26	32.4
-0.27	30.4
-0.28	29.6
-0.28	27.8
-0.29	25.5
-0.30	24.0
-0.31	22.5
-0.32	20.8
-0.33	20.1
-0.34	18.7
-0.35	17.3
-0.36	16.2
-0.37	14.9
-0.37	13.8
-0.38	12.9
-0.39	12.2
-0.39	11.6
-0.40	10.6
-0.41	9.5
-0.42	9.1
-0.43	8.1
-0.44	7.3
-0.45	6.4
-0.46	5.7
-0.47	5.0
-0.48	4.5
-0.49	3.7
-0.50	3.1
-0.51	2.7
-0.51	2.3
-0.52	1.9
-0.54	1.6
-0.54	1.3
-0.55	1.1
-0.57	0.7
-0.58	0.6
-0.59	0.3
-0.60	0.1
-0.62	0.1
-0.63	-0.1
-0.64	-0.2
-0.66	-0.4
-0.67	-0.5
-0.69	-0.5
-0.70	-0.5
-0.71	-0.6
-0.72	-0.7
-0.74	-0.7
-0.75	-0.6
-0.77	-0.6
-0.78	-0.6
-0.79	-0.7
-0.80	-0.7
-0.82	-0.7
-0.83	-0.6
-0.84	-0.7
-0.86	-0.8
-0.88	-0.7
-0.89	-0.7
-0.90	-0.7
-0.92	-0.7
-0.94	-0.7
-0.95	-0.7
-0.97	-0.7
-0.99	-0.8
-1.00	-0.7
-1.01	-0.7
-1.03	-0.7
-1.04	-0.7
-1.06	-0.8
-1.07	-0.7
-1.08	-0.8
-1.11	-0.8
-1.12	-0.7
-1.13	-0.7
-1.16	-0.8
-1.17	-0.7
-1.18	-0.7
-1.20	-0.8
-1.22	-0.7
-1.23	-0.7
-1.25	-0.8
-1.25	-0.7
-1.27	-0.7
-1.29	-0.8
-1.30	-0.7
-1.31	-0.8
-1.33	-0.8
-1.34	-0.7
-1.36	-0.7
-1.38	-0.7
-1.39	-0.7
-1.42	-0.7
-1.43	-0.7
-1.44	-0.7
-1.46	-0.8
-1.48	-0.7
-1.49	-0.7
-1.51	-0.7
-1.52	-0.8
-1.54	-0.7
-1.55	-0.8
-1.58	-0.8
-1.60	-0.7
-1.61	-0.7
-1.63	-0.8
-1.65	-0.8
-1.66	-0.7
-1.67	-0.7
-1.70	-0.8
-1.71	-0.8
-1.73	-0.7
-1.75	-0.7
-1.77	-0.7
-1.79	-0.8
-1.80	-0.8
-1.82	-0.7
-1.84	-0.7
-1.86	-0.7
-1.87	-0.8
-1.89	-0.8
-1.91	-0.8
-1.92	-0.7
-1.93	-0.7
-1.96	-0.8
-1.97	-0.8
-2.00	-0.8
-2.02	-0.7
-2.04	-0.7
-2.05	-0.7
-2.07	-0.7
-2.09	-0.8
-2.10	-0.7
-2.13	-0.7
-2.13	-0.7
-2.16	-0.8
-2.18	-0.8
-2.20	-0.7
-2.22	-0.7
-2.23	-0.7
-2.25	-0.7
-2.27	-0.8
-2.29	-0.8
-2.31	-0.8
-2.33	-0.6
-2.34	-0.7
-2.36	-0.7
-2.38	-0.8
-2.40	-0.8
-2.42	-0.8
-2.44	-0.8
-2.45	-0.7
-2.47	-0.7
-2.49	-0.8
-2.51	-0.8
-2.54	-0.8
-2.55	-0.7
-2.57	-0.7
-2.59	-0.7
-2.61	-0.8
-2.63	-0.8
-2.65	-0.8
-2.68	0.1
-2.69	-0.7
-2.72	-0.8
-2.73	-0.7
-2.76	-0.7
-2.77	-0.8
-2.79	-0.6
-2.81	-0.8
-2.82	-0.7
-2.83	-0.6
-2.85	-0.7
-2.87	-0.8
-2.90	-0.8
-2.92	-0.8
-2.95	-0.8
-2.96	-0.7
-2.98	-0.7
-3.00	-0.7
-3.02	-0.7
-3.04	-0.7
-3.06	-0.8
-3.08	-0.8
-3.10	-0.7
-3.12	-0.7
-3.13	-0.7
-3.16	-0.7
-3.17	-0.7
-3.19	-0.7
-3.22	-0.8
-3.24	-0.8
-3.27	-0.8
-3.28	-0.7
-3.30	-0.7
-3.32	-0.7
-3.34	-0.8
-3.36	-0.9
-3.38	-0.7
-3.40	-0.7
-3.41	-0.7
-3.43	-0.8
-3.46	-0.8
-3.47	-0.7
-3.49	-0.7
-3.50	-0.7
-3.52	-0.8
-3.55	-0.8
-3.57	-0.7
-3.58	-0.7
-3.60	-0.7
-3.62	-0.7
-3.64	-0.8
-3.65	-0.7
-3.67	-0.7
-3.69	-0.7
-3.72	-0.8
-3.74	-0.8
-3.76	-0.7
-3.78	-0.7
-3.79	-0.6
-3.81	-0.8
-3.83	-0.8
-3.85	-0.8
-3.86	-0.7
-3.87	-0.7
-3.89	-0.7
-3.90	-0.7
-3.93	-0.8
-3.94	-0.7
-3.96	-0.8
-3.98	-0.7
-3.98	-0.7
-3.98	-0.7
-3.98	-0.7
-3.99	-0.6
