Vr [V]	I [pA]
0.00	97.3
-0.01	96.2
-0.01	93.9
-0.02	92.7
-0.03	91.3
-0.04	88.9
-0.05	85.8
-0.05	84.6
-0.06	83.2
-0.07	81.6
-0.07	77.0
-0.08	76.5
-0.08	74.8
-0.09	72.5
-0.09	71.4
-0.10	70.6
-0.11	69.5
-0.11	68.1
-0.11	67.3
-0.12	66.4
-0.13	64.5
-0.14	62.9
-0.15	61.5
-0.16	59.8
-0.16	57.9
-0.17	56.1
-0.18	54.3
-0.19	52.9
-0.20	51.4
-0.21	50.2
-0.22	48.0
-0.22	46.2
-0.23	45.1
-0.24	43.6
-0.25	42.4
-0.26	40.5
-0.27	39.1
-0.27	37.4
-0.28	36.0
-0.29	34.7
-0.30	33.1
-0.31	31.9
-0.32	30.5
-0.33	29.3
-0.33	27.9
-0.34	27.4
-0.35	26.0
-0.35	25.2
-0.36	24.5
-0.37	23.0
-0.38	22.1
-0.39	20.7
-0.39	19.7
-0.40	19.0
-0.41	17.9
-0.42	16.9
-0.43	16.0
-0.44	15.0
-0.45	13.4
-0.46	12.4
-0.47	11.3
-0.48	10.4
-0.49	9.7
-0.50	8.7
-0.52	7.9
-0.53	6.5
-0.53	6.1
-0.55	5.4
-0.56	5.0
-0.57	4.4
-0.58	3.5
-0.59	3.1
-0.60	2.6
-0.62	2.3
-0.63	2.1
-0.64	1.7
-0.65	1.4
-0.66	1.0
-0.67	0.8
-0.68	0.6
-0.69	0.5
-0.71	0.3
-0.71	0.2
-0.73	0.1
-0.74	-0.3
-0.76	-0.2
-0.77	-0.4
-0.78	-0.4
-0.80	-0.5
-0.81	-0.6
-0.83	-0.5
-0.85	-0.6
-0.86	-0.6
-0.86	-0.6
-0.88	-0.6
-0.89	-0.6
-0.91	-0.6
-0.91	-0.5
-0.92	-0.6
-0.94	-0.7
-0.96	-0.6
-0.97	-0.6
-0.99	-0.6
-1.00	-0.6
-1.01	-0.6
-1.03	-0.7
-1.05	-0.7
-1.07	-0.6
-1.08	-0.7
-1.10	-0.7
-1.12	-0.7
-1.14	-0.7
-1.15	-0.7
-1.17	-0.6
-1.18	-0.6
-1.20	-0.7
-1.22	-0.7
-1.24	-0.7
-1.26	-0.7
-1.27	-0.6
-1.28	-0.7
-1.30	-0.8
-1.32	-0.7
-1.34	-0.6
-1.35	-0.6
-1.37	-0.7
-1.39	-0.8
-1.41	-0.7
-1.44	-0.7
-1.46	-0.6
-1.47	-0.7
-1.49	-0.7
-1.51	-0.8
-1.53	-0.6
-1.55	-0.6
-1.56	-0.6
-1.58	-0.7
-1.60	-0.7
-1.61	-0.7
-1.63	-0.7
-1.64	-0.6
-1.66	-0.7
-1.68	-0.7
-1.70	-0.7
-1.72	-0.7
-1.73	-0.7
-1.75	-0.8
-1.79	-0.8
-1.80	-0.6
-1.81	-0.7
-1.84	-0.8
-1.86	-0.7
-1.88	-0.7
-1.90	-0.7
-1.91	-0.7
-1.94	-0.8
-1.95	-0.7
-1.98	-0.7
-1.99	-0.6
-2.00	-0.7
-2.02	-0.7
-2.04	-0.7
-2.06	-0.7
-2.07	-0.7
-2.09	-0.8
-2.11	-0.8
-2.13	-0.7
-2.15	-0.7
-2.17	-0.7
-2.19	-0.8
-2.21	-0.8
-2.23	-0.7
-2.25	-0.7
-2.26	-0.7
-2.28	-0.7
-2.30	-0.8
-2.32	-0.7
-2.34	-0.8
-2.36	-0.8
-2.38	-0.8
-2.39	-0.7
-2.40	-0.6
-2.41	-0.7
-2.43	-0.7
-2.45	-0.7
-2.47	-0.7
-2.49	-0.7
-2.51	-0.7
-2.52	-0.7
-2.54	-0.8
-2.56	-0.7
-2.58	-0.8
-2.60	-0.7
-2.62	-0.7
-2.63	-0.7
-2.65	-0.7
-2.68	-0.8
-2.70	-0.7
-2.71	-0.7
-2.72	-0.7
-2.74	-0.7
-2.77	-0.8
-2.78	-0.7
-2.80	-0.7
-2.81	-0.7
-2.83	-0.7
-2.85	-0.8
-2.87	-0.7
-2.89	-0.7
-2.90	-0.7
-2.92	-0.8
-2.95	-0.8
-2.97	-0.7
-2.99	-0.7
-3.00	-0.7
-3.03	-0.8
-3.05	-0.8
-3.08	-0.7
-3.10	-0.8
-3.12	-0.6
-3.14	-0.7
-3.15	-0.6
-3.17	-0.7
-3.19	-0.8
-3.21	-0.8
-3.24	-0.7
-3.25	-0.6
-3.27	-0.7
-3.28	-0.7
-3.30	-0.7
-3.33	-0.7
-3.35	-0.7
-3.36	-0.6
-3.38	-0.7
-3.40	-0.7
-3.41	-0.7
-3.44	-0.7
-3.46	-0.8
-3.49	-0.8
-3.52	-0.8
-3.53	-0.7
-3.55	-0.7
-3.57	-0.7
-3.58	-0.7
-3.60	-0.7
-3.62	-0.7
-3.64	-0.8
-3.66	-0.6
-3.68	-0.7
-3.70	-0.7
-3.73	-0.7
-3.74	-0.7
-3.77	-0.7
-3.80	-0.8
-3.82	-0.7
-3.85	-0.7
-3.86	-0.6
-3.88	-0.7
-3.89	-0.7
-3.91	-0.7
-3.94	-0.8
-3.96	-0.7
-3.98	-0.7
-3.98	-0.7
-3.98	-0.6
-3.98	-0.6
-3.99	-0.6
